id,park_name,address,park_type,latitude,longitude,area,size,size_rank
1,夏島公園,神奈川県横須賀市夏島町2-13,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.32355728,139.6478492,追浜エリア,409,小
2,追浜本町公園,神奈川県横須賀市追浜本町2-29-10,街区公園,35.32152996,139.6304888,追浜エリア,2411,中
3,追浜本町１丁目公園,神奈川県横須賀市追浜本町1-90-39,街区公園,35.32097682,139.6273283,追浜エリア,986,小
4,追浜本町１丁目第２公園,神奈川県横須賀市追浜本町1-90-63,街区公園,35.32021066,139.6270439,追浜エリア,196,小
5,追浜本町第２公園,神奈川県横須賀市追浜本町2-1-106,街区公園,35.31913449,139.6303166,追浜エリア,824,小
6,湘南鷹取６丁目公園,神奈川県横須賀市湘南鷹取6-88-2,街区公園,35.31617449,139.6150551,追浜エリア,3102,中
7,湘南鷹取１丁目第２公園,神奈川県横須賀市湘南鷹取1-69-250,街区公園,35.31539649,139.6198598,追浜エリア,388,小
8,鷹取公園,神奈川県横須賀市鷹取1-4-4,近隣公園,35.31511853,139.6235393,追浜エリア,12955,大
9,貝山緑地,神奈川県横須賀市浦郷町5-2931-63,その他,35.31377115,139.6426909,追浜エリア,45274,大
10,湘南鷹取５丁目第２公園,神奈川県横須賀市湘南鷹取5-40-71,街区公園,35.31258982,139.6167704,追浜エリア,5592,中
11,湘南鷹取５丁目公園,神奈川県横須賀市湘南鷹取5-52-62,街区公園,35.31198337,139.6136869,追浜エリア,5117,中
12,湘南鷹取１丁目公園,神奈川県横須賀市湘南鷹取1-3-38,街区公園,35.31119237,139.6179489,追浜エリア,4226,中
13,追浜東町１丁目第２公園,神奈川県横須賀市追浜東町1-51-2,街区公園,35.31064526,139.6309235,追浜エリア,886,小
14,平和公園,神奈川県横須賀市追浜町2-41-8,街区公園,35.31031498,139.6271351,追浜エリア,708,小
15,湘南鷹取４丁目公園,神奈川県横須賀市湘南鷹取4-4-237,街区公園,35.31027019,139.6167754,追浜エリア,396,小
16,追浜東町１丁目第４公園,神奈川県横須賀市追浜東町1-28-64,街区公園,35.3099833,139.6311149,追浜エリア,462,小
17,追浜町１丁目公園,神奈川県横須賀市追浜町1-40-15,街区公園,35.30953789,139.6244746,追浜エリア,579,小
18,湘南鷹取２丁目第４公園,神奈川県横須賀市湘南鷹取2-1-53,街区公園,35.30947368,139.6232624,追浜エリア,3299,中
19,追浜東町１丁目公園,神奈川県横須賀市追浜東町1-28-26,街区公園,35.30937594,139.630262,追浜エリア,1929,中
20,湘南鷹取４丁目第２公園,神奈川県横須賀市湘南鷹取4-50-2,街区公園,35.30931546,139.6122753,追浜エリア,9181,中
21,浦郷公園,神奈川県横須賀市浦郷町2-71,街区公園,35.30870273,139.6372949,追浜エリア,6419,中
22,湘南鷹取２丁目第３公園,神奈川県横須賀市湘南鷹取2-16-214,街区公園,35.30815867,139.6184326,追浜エリア,3574,中
23,追浜東町１丁目第３公園,神奈川県横須賀市追浜東町1-28-54,街区公園,35.30807,139.6288477,追浜エリア,263,小
24,湘南鷹取２丁目公園,神奈川県横須賀市湘南鷹取2-1-34,街区公園,35.30801378,139.6193806,追浜エリア,744,小
25,北郷公園,神奈川県横須賀市追浜町1-60-1,街区公園,35.30778225,139.6253499,追浜エリア,2268,中
26,追浜東町自然の広場,神奈川県横須賀市追浜東町1-19-2,街区公園,35.30755883,139.6302525,追浜エリア,876,小
27,日向公園,神奈川県横須賀市浦郷町1-67,街区公園,35.30729333,139.637954,追浜エリア,3911,中
28,湘南鷹取２丁目第２公園,神奈川県横須賀市湘南鷹取2-3-331,街区公園,35.30672401,139.6207568,追浜エリア,809,小
29,湘南鷹取３丁目公園,神奈川県横須賀市湘南鷹取3-16-315,街区公園,35.30625947,139.6175793,追浜エリア,1385,中
30,船越８丁目公園,神奈川県横須賀市船越町8-1-50,街区公園,35.30597143,139.632636,田浦エリア,2100,中
31,船越８丁目第２公園,神奈川県横須賀市船越町8-32-22,街区公園,35.30558547,139.6294757,田浦エリア,1266,中
32,湘南鷹取２丁目第５公園,神奈川県横須賀市湘南鷹取2-6-3,街区公園,35.30530647,139.6225329,追浜エリア,7078,中
33,船越８丁目第３公園,神奈川県横須賀市船越町8-32-73,街区公園,35.30474919,139.6311802,田浦エリア,983,小
34,湘南鷹取３丁目第２公園,神奈川県横須賀市湘南鷹取3-3-477,街区公園,35.30464972,139.6150286,追浜エリア,8598,中
35,船越６丁目第３公園,神奈川県横須賀市船越町6-16-31,街区公園,35.30462312,139.6279899,田浦エリア,2136,中
36,船越６丁目公園,神奈川県横須賀市船越町6-17-40,街区公園,35.30392899,139.6273347,田浦エリア,646,小
37,梅田公園,神奈川県横須賀市船越町7-58-22,街区公園,35.30347606,139.6320145,田浦エリア,2454,中
38,船越７丁目公園,神奈川県横須賀市船越町7-12-31,街区公園,35.30313919,139.6304477,田浦エリア,883,小
39,船越６丁目第２公園,神奈川県横須賀市船越町6-47-42,街区公園,35.30173181,139.6289023,田浦エリア,1717,中
40,船越１丁目公園,神奈川県横須賀市船越町1-5-8,街区公園,35.29891113,139.6285176,田浦エリア,6241,中
41,船越３丁目公園,神奈川県横須賀市船越町3-10-2,街区公園,35.29872275,139.623374,田浦エリア,8287,中
42,船越３丁目第２公園,神奈川県横須賀市船越町3-33-3,街区公園,35.29856589,139.6208384,田浦エリア,622,小
43,板取公園,神奈川県横須賀市船越町2-31-9,街区公園,35.29552929,139.6244838,田浦エリア,2472,中
44,池の谷戸公園,神奈川県横須賀市田浦町6-1-28,近隣公園,35.29526628,139.6262845,田浦エリア,16960,大
45,港が丘公園,神奈川県横須賀市港が丘1-1-91,街区公園,35.29503178,139.6301384,田浦エリア,5584,中
46,田浦公園,神奈川県横須賀市田浦町4-7-1,街区公園,35.29444759,139.6318817,田浦エリア,847,小
47,田の浦公園,神奈川県横須賀市長浦町1-20-1,街区公園,35.29109971,139.6457993,田浦エリア,2600,中
48,安針台公園,神奈川県横須賀市安針台31-35,街区公園,35.28992859,139.6474434,逸見エリア,6031,中
49,田浦１丁目公園,神奈川県横須賀市田浦町1-49-1,街区公園,35.28872294,139.6361227,田浦エリア,411,小
50,吉倉公園,神奈川県横須賀市吉倉町1-104,街区公園,35.28814793,139.6487535,逸見エリア,3215,中
51,長浦２丁目公園,神奈川県横須賀市長浦町2-45-9,街区公園,35.28694054,139.6431024,田浦エリア,227,小
52,長浦３丁目第２公園,神奈川県横須賀市長浦町3-106-1,街区公園,35.28428005,139.6413823,田浦エリア,517,小
53,ウェルシティ公園,神奈川県横須賀市西逸見町1-38-26,街区公園,35.28384288,139.6523914,逸見エリア,2313,中
54,逸見小学校前公園,神奈川県横須賀市西逸見町1-32,街区公園,35.28331897,139.650772,逸見エリア,874,小
55,長浦３丁目公園,神奈川県横須賀市長浦町3-60-3,街区公園,35.28211412,139.636071,田浦エリア,428,小
56,安針台第２公園,神奈川県横須賀市安針台17-16,街区公園,35.28197758,139.6422671,逸見エリア,6692,中
57,港町公園,神奈川県横須賀市汐入町2-10-11,街区公園,35.28167206,139.6599005,市役所エリア,606,小
58,東逸見２丁目公園,神奈川県横須賀市東逸見町2-6-3,街区公園,35.28137615,139.6529579,逸見エリア,407,小
59,諏訪公園,神奈川県横須賀市緑が丘33,近隣公園,35.28111427,139.6651442,市役所エリア,14884,大
60,大津１丁目公園,神奈川県横須賀市大津町1-1,街区公園,35.28105904,139.6680449,大津エリア,1000,中
61,西逸見公園,神奈川県横須賀市西逸見町2-9-5,街区公園,35.28083221,139.6479352,逸見エリア,259,小
62,汐入５丁目第２公園,神奈川県横須賀市汐入町5-45-12,街区公園,35.28002068,139.6557027,市役所エリア,1380,中
63,十三峠公園,神奈川県横須賀市山中町133-1,街区公園,35.27989839,139.6381733,逸見エリア,484,小
64,汐入５丁目公園,神奈川県横須賀市汐入町5-23-11,街区公園,35.27978107,139.6587341,市役所エリア,1114,中
65,汐入公園,神奈川県横須賀市汐入町2-38-5,街区公園,35.27870504,139.6613778,市役所エリア,136,小
66,平坂公園,神奈川県横須賀市若松町3-20,街区公園,35.27773339,139.6709756,市役所エリア,1116,中
67,東逸見３丁目公園,神奈川県横須賀市東逸見町3-14-32,街区公園,35.27500599,139.6517388,逸見エリア,434,小
68,緒明山公園,神奈川県横須賀市上町1-59-1,街区公園,35.27492191,139.6682349,市役所エリア,5529,中
69,坂本１丁目第２公園,神奈川県横須賀市坂本町1-6-8,街区公園,35.27367262,139.6586114,市役所エリア,1844,中
70,逸見が丘公園,神奈川県横須賀市逸見が丘50-29,街区公園,35.27253415,139.6495145,逸見エリア,3255,中
71,安浦公園,神奈川県横須賀市安浦町2-1,街区公園,35.2725193,139.6773932,市役所エリア,1220,中
72,安浦２丁目公園,神奈川県横須賀市安浦町2-33-7,街区公園,35.27220713,139.6799947,市役所エリア,2001,中
73,東逸見４丁目公園,神奈川県横須賀市東逸見町4-16-76,街区公園,35.27204308,139.6451373,逸見エリア,536,小
74,逸見が丘第３公園,神奈川県横須賀市逸見が丘6-23,街区公園,35.2716213,139.6496509,逸見エリア,1633,中
75,豊の坪公園,神奈川県横須賀市上町4-74-4,街区公園,35.27140371,139.6665918,市役所エリア,1475,中
76,坂本１丁目公園,神奈川県横須賀市坂本町1-44-14,街区公園,35.2710149,139.656914,市役所エリア,492,小
77,逸見が丘第２公園,神奈川県横須賀市逸見が丘11-2,街区公園,35.27098806,139.6464213,逸見エリア,4673,中
78,池上７丁目第２公園,神奈川県横須賀市池上7地内,街区公園,35.27064957,139.6458367,衣笠エリア,4145,中
79,池上７丁目公園,神奈川県横須賀市池上7-31,街区公園,35.27055193,139.6433432,衣笠エリア,3352,中
80,坂本３丁目公園,神奈川県横須賀市坂本町3-10-27,街区公園,35.26948719,139.655219,市役所エリア,2277,中
81,上町３丁目公園,神奈川県横須賀市上町3-33-2,街区公園,35.26948597,139.6707413,市役所エリア,556,小
82,安浦第２公園,神奈川県横須賀市安浦町3-27,街区公園,35.2689501,139.680158,市役所エリア,173,小
83,桜が丘公園,神奈川県横須賀市坂本町5-7-74,街区公園,35.26818973,139.6518029,市役所エリア,4551,中
84,池上１丁目公園,神奈川県横須賀市池上1-3988,街区公園,35.26805678,139.6475926,衣笠エリア,1929,中
85,池上７丁目第３公園,神奈川県横須賀市池上7地内,近隣公園,35.26793989,139.6431408,衣笠エリア,14879,大
86,不入斗３丁目公園,神奈川県横須賀市不入斗町3-18-14,街区公園,35.26793421,139.6584982,市役所エリア,1640,中
87,鶴が丘２丁目公園,神奈川県横須賀市鶴が丘2-13-4,街区公園,35.2672805,139.6576349,市役所エリア,318,小
88,富士見公園,神奈川県横須賀市富士見町1-60-3,街区公園,35.26669679,139.6765721,市役所エリア,1657,中
89,坂本台公園,神奈川県横須賀市鶴が丘2-31-152,街区公園,35.26637139,139.6563214,市役所エリア,5809,中
90,宇東川公園,神奈川県横須賀市佐野町1-34-1,街区公園,35.26582863,139.6698385,市役所エリア,1857,中
91,池上公園,神奈川県横須賀市池上5-3950-9,街区公園,35.26555453,139.644468,衣笠エリア,999,小
92,金谷第２公園,神奈川県横須賀市金谷1-630-1,街区公園,35.26544516,139.6513969,衣笠エリア,1031,中
93,衣笠栄町４丁目公園,神奈川県横須賀市衣笠栄町4-4,街区公園,35.26516999,139.6557877,衣笠エリア,2609,中
94,金谷２丁目第３公園,神奈川県横須賀市金谷2-409-48,街区公園,35.26510834,139.654265,衣笠エリア,905,小
95,旗山崎公園,神奈川県横須賀市走水2-698,特殊公園（風致公園、動植物公園、歴史公園、墓園）,35.26507637,139.7310503,大津エリア,14693,大
96,汐見台３丁目公園,神奈川県横須賀市汐見台3-24-58,街区公園,35.26456284,139.6638763,市役所エリア,371,小
97,金谷２丁目第２公園,神奈川県横須賀市金谷2-409-47,街区公園,35.26445639,139.6543017,衣笠エリア,959,小
98,金谷２丁目公園,神奈川県横須賀市金谷2-409-44,街区公園,35.26413226,139.653715,衣笠エリア,2044,中
99,走水２丁目公園,神奈川県横須賀市走水2-775-5,街区公園,35.26367298,139.7307921,大津エリア,188,小
100,金谷公園,神奈川県横須賀市金谷1-487-2,街区公園,35.26367061,139.6512796,衣笠エリア,578,小
101,汐見台公園,神奈川県横須賀市汐見台3-1-13,街区公園,35.26363433,139.6636569,市役所エリア,1156,中
102,馬堀海岸公園,神奈川県横須賀市馬堀海岸2-27,街区公園,35.26292928,139.7062679,大津エリア,17082,大
103,大津３丁目緑地,神奈川県横須賀市大津町3-51-7,その他,35.26238343,139.6972812,大津エリア,2873,中
104,馬堀海岸１丁目公園,神奈川県横須賀市馬堀海岸1-30-1,街区公園,35.26215169,139.7017772,大津エリア,5185,中
105,阿部倉公園,神奈川県横須賀市阿部倉1506-1,街区公園,35.26191554,139.641039,衣笠エリア,657,小
106,馬堀海岸３丁目公園,神奈川県横須賀市馬堀海岸3-28,街区公園,35.2618199,139.7114492,大津エリア,4651,中
107,衣笠栄町４丁目第２公園,神奈川県横須賀市衣笠栄町4-5,街区公園,35.26180252,139.6562916,衣笠エリア,573,小
108,三春６丁目公園,神奈川県横須賀市三春町6-95-18,街区公園,35.26162156,139.681531,市役所エリア,1237,中
109,平作第２公園,神奈川県横須賀市平作8-3461,街区公園,35.2615625,139.6500777,衣笠エリア,1254,中
110,三春５丁目第２公園,神奈川県横須賀市三春町5-9,街区公園,35.2614938,139.6852956,市役所エリア,1979,中
111,池上３丁目公園,神奈川県横須賀市池上3-3629-2,街区公園,35.26146507,139.6464908,衣笠エリア,815,小
